,Applicant,Applicant country,Region,Category,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
1023,Lyvgen Biopharma Holdings Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2016.0,2016.0,Transient,1.0,1.0
1024,Ma Chi,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2018.0,2018.0,Transient,1.0,1.0
1025,Mabquest,France,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2020.0,2020.0,Transient,1.0,1.0
1026,Mabwell Shanghai Biotechnology Co Ltd,China,Asia,Commercial,5.0,4.0,0.15064778547755348,0.8,0.0010090817356205853,0.0,2019.0,2022.0,Terminator,4.0,1.25
1027,"Macisaac, Kenzie",,,Individual,1.0,15.0,0.030129557095510694,15.0,0.016145307769929364,0.0,2018.0,2018.0,Transient,1.0,1.0
1028,"Mackay Medical Foundation, The Presbyterian Church In Taiwan, Mackay Memorial Hospital",Taiwan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1029,Mackay Memorial Hospital,Taiwan,Asia,Academic,,,,,,,,,Mackay Memorial Hospital,,
1030,Macrogenics Inc,United States,North America,Commercial,5.0,0.0,0.15064778547755348,0.0,,,2016.0,2022.0,Terminator,7.0,0.7142857142857143
1031,Madison Vaccines Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
1032,Maine Medical Center Research Institute,United States,North America,Academic,1.0,3.0,0.030129557095510694,3.0,,,2017.0,2017.0,Transient,1.0,1.0
1033,Malefyt Rene De Waal,,,Individual,1.0,2.0,0.030129557095510694,2.0,0.0020181634712411706,0.0,2017.0,2017.0,Transient,1.0,1.0
1034,Mallinckrodt Pharmaceuticals Ireland Ltd,Ireland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1035,Mangukiya Hitesh Bhagavanbhai,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
1036,Maria Fardis,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1037,"Marine Medical Research Institute Of Guangdong, Zhanjiang",China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
1038,Massachusetts General Hospital,United States,North America,Academic,12.0,15.0,0.3615546851461284,1.25,0.008072653884964682,0.0016648149846938951,2018.0,2023.0,Continuant,6.0,2.0
1039,Massachusetts Institute Of Technology,United States,North America,Academic,9.0,58.0,0.27116601385959627,6.444444444444445,0.007063572149344097,0.0016566607888504963,2015.0,2023.0,Continuant,9.0,1.0
1040,"Mataraza, Jennifer Marie",,,Individual,1.0,15.0,0.030129557095510694,15.0,0.016145307769929364,0.0,2018.0,2018.0,Transient,1.0,1.0
1041,Mateon Therapeutics Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2018.0,2018.0,Transient,1.0,1.0
1042,Materia Therapeutics Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2021.0,2022.0,Terminator,2.0,1.0
1043,Mayo Foundation,United States,North America,Academic,12.0,33.0,0.3615546851461284,2.75,0.011099899091826439,0.03585060154182257,2014.0,2022.0,Terminator,9.0,1.3333333333333333
1044,Mbf Therapeutics Inc,United States,North America,Commercial,2.0,44.0,0.06025911419102139,22.0,,,2020.0,2022.0,Terminator,3.0,0.6666666666666666
1045,Medannex Ltd,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1046,Medarex Inc.,United States,North America,Commercial,7.0,103.0,0.21090689966857487,14.714285714285714,0.010090817356205853,0.012883629432569899,2003.0,2012.0,Terminator,10.0,0.7
1047,Medarex Llc,United States,North America,Commercial,1.0,61.0,0.030129557095510694,61.0,0.0010090817356205853,0.0,2014.0,2014.0,Transient,1.0,1.0
1048,Median Tech Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1049,Medical College Of Wisconsin Inc.,United States,North America,Commercial,3.0,2.0,0.0903886712865321,0.6666666666666666,,,2020.0,2021.0,Terminator,2.0,1.5
1050,Medical University Of South Carolina Foundation For Research Development,United States,North America,Academic,1.0,2.0,0.030129557095510694,2.0,,,2017.0,2017.0,Transient,1.0,1.0
1051,Medicament Health Crowd Extension Jiangsu Medical Science And Technology Limited Company,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1052,Medicenna Therapeutics Inc.,Canada,North America,Commercial,2.0,25.0,0.06025911419102139,12.5,,,2018.0,2021.0,Terminator,4.0,0.5
1053,Medicinova Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1054,Medimmune Llc,United States,North America,Commercial,13.0,24.0,0.391684242241639,1.8461538461538463,0.008072653884964682,0.0008305048466501544,2017.0,2022.0,Terminator,6.0,2.1666666666666665
1055,Medimmune Ltd.,United Kingdom,Europe,Commercial,16.0,372.0,0.4820729135281711,23.25,0.0030272452068617556,0.0016573403051707797,2003.0,2022.0,Terminator,20.0,0.8
1056,Medpacto Inc.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2016.0,2016.0,Transient,1.0,1.0
1057,Medytox Inc.,South Korea,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2021.0,2021.0,Transient,1.0,2.0
1058,Mei Pharma Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2018.0,2023.0,Continuant,6.0,0.3333333333333333
1059,Meiji Co. Ltd.,Japan,Asia,Commercial,1.0,2.0,0.030129557095510694,2.0,,,2019.0,2019.0,Transient,1.0,1.0
1060,Meiji Seika Pharma Co. Ltd.,Japan,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1061,Mejia Jaime A,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.008072653884964682,0.0,2020.0,2020.0,Transient,1.0,1.0
1062,Melvin L Depamphilis,,,Individual,1.0,6.0,0.030129557095510694,6.0,0.0020181634712411706,0.0,2009.0,2009.0,Transient,1.0,1.0
1063,Memgen Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2016.0,2016.0,Transient,1.0,1.0
1064,Memgen Llc,United States,North America,Commercial,2.0,2.0,0.06025911419102139,1.0,0.0020181634712411706,0.0,2016.0,2016.0,Transient,1.0,2.0
1065,Memorial Hospital For Cancer And Allied Diseases,United States,North America,Academic,7.0,0.0,0.21090689966857487,0.0,0.008072653884964682,0.0003465533233444438,2022.0,2023.0,Continuant,2.0,3.5
1066,Memorial Sloan Kettering Cancer Center,United States,North America,Academic,32.0,28.0,0.9641458270563422,0.875,0.013118062563067608,0.013338225850839363,2014.0,2023.0,Continuant,10.0,3.2
1067,Menachem Assaf,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1068,Mendus B V,Netherlands,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1069,Mengchao Hepatobiliary Hospital Of Fujian Medical University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1070,Merck Patent Gmbh,Germany,Europe,Commercial,18.0,10.0,0.5423320277191925,0.5555555555555556,0.010090817356205853,0.0032628674909199627,2016.0,2022.0,Terminator,7.0,2.5714285714285716
1071,Merck Sharp & Dohme Corp.,United States,North America,Commercial,44.0,61.0,1.3257005122024708,1.3863636363636365,0.04944500504540868,0.06895935473130221,2012.0,2023.0,Continuant,12.0,3.6666666666666665
1072,Mereo Biopharma 5 Inc.,United Kingdom,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2022.0,2022.0,Transient,1.0,2.0
1073,Mersana Therapeutics Inc.,United States,North America,Commercial,1.0,4.0,0.030129557095510694,4.0,0.0010090817356205853,0.0,2018.0,2018.0,Transient,1.0,1.0
1074,Merus Nv,,,Individual,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1075,Metaclipse Therapeutics Corp.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
1076,Methodist Hospital,United States,North America,Academic,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2019.0,2022.0,Terminator,4.0,0.5
1077,"Miao, Yong",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2022.0,2022.0,Transient,1.0,1.0
1078,Microbio Co. Ltd.,South Korea,Asia,Commercial,1.0,8.0,0.030129557095510694,8.0,,,2017.0,2017.0,Transient,1.0,1.0
1079,Microbiotica Ltd.,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1080,Microvax Llc,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2018.0,2018.0,Transient,1.0,1.0
1081,Milena Mechthild Weis,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.005045408678102927,0.0,2019.0,2019.0,Transient,1.0,1.0
1082,Millennium Pharmaceuticals Inc.,United States,North America,Commercial,6.0,23.0,0.1807773425730642,3.8333333333333335,0.0010090817356205853,0.0,2017.0,2020.0,Terminator,4.0,1.5
1083,Minghui Pharmaceutical Hangzhou Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
1084,Minghui Pharmaceutical Shanghai Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
1085,Mirati Therapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1086,Mirna Therapeutics Inc.,United States,North America,Commercial,1.0,12.0,0.030129557095510694,12.0,0.0010090817356205853,0.0,2016.0,2016.0,Transient,1.0,1.0
1087,Mitchell Woods Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
1088,Mitro Nanjing Biotechnology Co. Ltd.,China,Asia,Commercial,1.0,5.0,0.030129557095510694,5.0,,,2015.0,2015.0,Transient,1.0,1.0
1089,Mitsui Norin Kk,Japan,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
1090,Modernatx Inc.,United States,North America,Commercial,6.0,15.0,0.1807773425730642,2.5,,,2017.0,2023.0,Continuant,7.0,0.8571428571428571
1091,Moisan Jacques,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2018.0,2018.0,Transient,1.0,1.0
1092,Molecular Templates Inc,United States,North America,Commercial,1.0,10.0,0.030129557095510694,10.0,,,2019.0,2019.0,Transient,1.0,1.0
1093,Momenta Pharmaceuticals Inc,United States,North America,Commercial,1.0,2.0,0.030129557095510694,2.0,,,2013.0,2013.0,Transient,1.0,1.0
1094,Momotaro Gene Inc.,Japan,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2017.0,2019.0,Terminator,3.0,0.6666666666666666
1095,Monopteros Therapeutics Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,2.0
1096,Montefiore Medical Center,United States,North America,Academic,1.0,4.0,0.030129557095510694,4.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
1097,Moon Peter S.,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1098,Moonshot Pharma Llc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1099,"Morton, Donald",,,Individual,1.0,11.0,0.030129557095510694,11.0,0.0020181634712411706,0.0,2014.0,2014.0,Transient,1.0,1.0
1100,Msd International Business Gmbh,Germany,Europe,Commercial,11.0,0.0,0.3314251280506177,0.0,0.010090817356205853,0.007396874904443018,2020.0,2023.0,Continuant,4.0,2.75
1101,Msd Oss Bv,Netherlands,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2011.0,2011.0,Transient,1.0,1.0
1102,Multivir Inc.,United States,North America,Commercial,6.0,18.0,0.1807773425730642,3.0,0.0010090817356205853,0.0,2016.0,2020.0,Terminator,5.0,1.2
1103,"Muthurania, Kevin, Wamiti",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2006.0,2006.0,Transient,1.0,1.0
1104,Mykara Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1105,Myriad Genetics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
1106,Myron Szewczuk,,,Individual,1.0,2.0,0.030129557095510694,2.0,0.0010090817356205853,0.0,2017.0,2017.0,Transient,1.0,1.0
1107,Nadianbio Ltd.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1108,Nallagatla Subbarao,,,Individual,1.0,4.0,0.030129557095510694,4.0,0.0020181634712411706,0.0,2017.0,2017.0,Transient,1.0,1.0
1109,Nan,,,,1.0,7.0,0.030129557095510694,7.0,,,,,Nan,,
1110,"Nanfang Hospital, Southern Medical University",China,Asia,Academic,10.0,13.0,0.30129557095510695,1.3,,,2020.0,2023.0,Continuant,4.0,2.5
1111,Nanjing Angkeli Medicine Tech Innovation Research Institute Co. Ltd.,China,Asia,Commercial,1.0,8.0,0.030129557095510694,8.0,,,2018.0,2018.0,Transient,1.0,1.0
1112,Nanjing Congyi Pharmaceutical Tech Company,China,Asia,Commercial,1.0,3.0,0.030129557095510694,3.0,,,2019.0,2019.0,Transient,1.0,1.0
1113,Nanjing Drum Tower Hospital,China,Asia,Academic,1.0,1.0,0.030129557095510694,1.0,,,2018.0,2018.0,Transient,1.0,1.0
1114,Nanjing First Hospital,China,Asia,Academic,1.0,6.0,0.030129557095510694,6.0,,,2019.0,2019.0,Transient,1.0,1.0
1115,Nanjing Genscript Biotech Co Ltd,China,Asia,Commercial,4.0,7.0,0.12051822838204278,1.75,,,2020.0,2021.0,Terminator,2.0,2.0
1116,Nanjing Huawei Medicine Tech Group Co. Ltd.,China,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2019.0,2019.0,Transient,1.0,1.0
1117,Nanjing Hyosky Zhongke Tech Development Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1118,Nanjing Leads Biolabs Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
1119,Nanjing Legend Biotech Co. Ltd.,China,Asia,Commercial,2.0,28.0,0.06025911419102139,14.0,,,2016.0,2016.0,Transient,1.0,2.0
1120,Nanjing Medical University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1121,Nanjing Sanhome Pharmaceutical Co. Ltd.,China,Asia,Commercial,4.0,14.0,0.12051822838204278,3.5,,,2018.0,2022.0,Terminator,5.0,0.8
1122,Nanjing Shengsheng Pharmacy Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1123,Nanjing Shunxin Pharmaceutical Co. Ltd.,China,Asia,Commercial,2.0,2.0,0.06025911419102139,1.0,0.0010090817356205853,0.0,2018.0,2018.0,Transient,1.0,2.0
1124,Nanjing Shunxin Pharmaceuticals Co. Ltd. Of Chiatai Tianqing Pharmaceutical Group,China,Asia,Commercial,4.0,0.0,0.12051822838204278,0.0,0.0010090817356205853,0.0,2019.0,2023.0,Continuant,5.0,0.8
1125,Nanjing Simcere Diagnostic Tech Co. Ltd.,China,Asia,Commercial,2.0,3.0,0.06025911419102139,1.5,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,2.0
1126,Nanjing Simcere Medical Examination Laboratory Co. Ltd.,China,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,1.0
1127,Nanjing Simcere Medical Laboratory Co. Ltd.,China,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,1.0
1128,Nanjing Xiansheng Medical Laboratory Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2022.0,2022.0,Transient,1.0,1.0
1129,Nanjing Xiansheng Medical Testing Co. Ltd.,China,Asia,Commercial,2.0,3.0,0.06025911419102139,1.5,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,2.0
1130,Nankai University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1131,Nanomab Tech Limited,China,Asia,Commercial,1.0,2.0,0.030129557095510694,2.0,,,2017.0,2017.0,Transient,1.0,1.0
1132,Nant Holdings Ip Llc,United States,North America,Commercial,5.0,7.0,0.15064778547755348,1.4,0.0020181634712411706,0.0,2016.0,2020.0,Terminator,5.0,1.0
1133,Nantbio Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1134,Nantcell Inc.,United States,North America,Commercial,4.0,5.0,0.12051822838204278,1.25,0.0020181634712411706,0.0,2017.0,2020.0,Terminator,4.0,1.0
1135,Nantomics Llc,United States,North America,Commercial,3.0,0.0,0.0903886712865321,0.0,,,2017.0,2023.0,Continuant,7.0,0.42857142857142855
1136,Narasimhan Chakravarthy Nachu,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2019.0,2019.0,Transient,1.0,1.0
1137,Nat Cancer Ct,Japan,Asia,Academic,10.0,10.0,0.30129557095510695,1.0,0.007063572149344097,0.01567949933237522,2014.0,2023.0,Continuant,10.0,1.0
1138,National Cancer Center Japan,Japan,Asia,Academic,2.0,1.0,0.06025911419102139,0.5,0.0020181634712411706,0.0008296894270658147,2019.0,2021.0,Terminator,3.0,0.6666666666666666
1139,"National Center For Nanoscience And Technology, China",China,Asia,Academic,2.0,5.0,0.06025911419102139,2.5,0.0010090817356205853,0.0,2017.0,2023.0,Continuant,7.0,0.2857142857142857
1140,National Center On Child Health And Development,Japan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
1141,National Cerebral & Cardiovascular Center,Japan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
1142,National Conservatory Of Arts And Crafts,France,Europe,Academic,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
1143,National Dong Hwa University,Taiwan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1144,National Health Research Institute,Taiwan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1145,National Institute For Agricultural Research,France,Europe,Academic,1.0,4.0,0.030129557095510694,4.0,0.0030272452068617556,0.0,2017.0,2017.0,Transient,1.0,1.0
1146,National Institute For Food And Drug Control,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
1147,National Institute Of Biological Sciences Beijing,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1148,"National Institute Of Human Health And Services, Usa",United States,North America,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2016.0,2016.0,Transient,1.0,1.0
1149,National Taiwan University,Taiwan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2015.0,2015.0,Transient,1.0,1.0
1150,National University Corporation Okayama University,Japan,Asia,Academic,2.0,0.0,0.06025911419102139,0.0,,,2015.0,2022.0,Terminator,8.0,0.25
1151,National University Corporation Tottori University,Japan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
1152,"National University Hospital, Singapore Pte Ltd.",Singapore,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
1153,National University Of Kaohsiung,Taiwan,Asia,Academic,2.0,0.0,0.06025911419102139,0.0,,,2019.0,2019.0,Transient,1.0,2.0
1154,National University Of Pusan Industrial University Cooperative Foundation,South Korea,Asia,Academic,1.0,3.0,0.030129557095510694,3.0,,,2019.0,2019.0,Transient,1.0,1.0
1155,National University Of Singapore,Singapore,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2019.0,2019.0,Transient,1.0,1.0
1156,Natural Medicine Institute Of Zhejiang Yangshengtang Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1157,Navire Pharma Inc.,United States,North America,Commercial,3.0,1.0,0.0903886712865321,0.3333333333333333,0.0030272452068617556,0.015070482830321379,2022.0,2023.0,Continuant,2.0,1.5
1158,Nbe Therapeutics Ag,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
1159,Nektar Therapeutics,United States,North America,Commercial,5.0,0.0,0.15064778547755348,0.0,0.005045408678102927,0.0033065264144981604,2018.0,2020.0,Terminator,3.0,1.6666666666666667
1160,Nektar Therapeutics India Pvt. Ltd.,India,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
1161,"Nema, Sandeep",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2006.0,2006.0,Transient,1.0,1.0
1162,Neoimmunetech Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2019.0,2022.0,Terminator,4.0,0.5
1163,Neoleukin Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1164,Neornat,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1165,Neotx Therapeutics Ltd.,Israel,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2019.0,2019.0,Transient,1.0,1.0
1166,Netris Pharma,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2018.0,2018.0,Transient,1.0,1.0
1167,Neumedicines Inc,United States,North America,Commercial,1.0,8.0,0.030129557095510694,8.0,,,2019.0,2019.0,Transient,1.0,1.0
1168,Neuracle Genetics Inc.,United States,North America,Commercial,2.0,2.0,0.06025911419102139,1.0,,,2019.0,2019.0,Transient,1.0,2.0
1169,New York University,United States,North America,Academic,5.0,1.0,0.15064778547755348,0.2,0.0010090817356205853,0.0,2018.0,2022.0,Terminator,5.0,1.0
1170,Ngm Biopharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2023.0,2023.0,Newcomer,1.0,1.0
1171,"Ni, Guoying",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2020.0,2020.0,Transient,1.0,1.0
1172,Nielson Nels P,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.018163471241170535,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1173,Nihon Sizen Hakkoh Co. Ltd.,Japan,Asia,Commercial,1.0,3.0,0.030129557095510694,3.0,,,2018.0,2018.0,Transient,1.0,1.0
1174,Nikolinokos Petros,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1175,Ningbo Yuchang Biotechnology Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
1176,Nippon Kayaku Kk,Japan,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
1177,Nippon Medical School,Japan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
1178,Nippon Shinyaku Co. Ltd.,Japan,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
1179,Nivien Therapeutics Company,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
1180,Nkmax Co Ltd,India,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
1181,Noahm Inc.,United States,North America,Commercial,2.0,2.0,0.06025911419102139,1.0,,,2019.0,2021.0,Terminator,3.0,0.6666666666666666
1182,Nodus Therapeutics,United States,North America,Commercial,2.0,2.0,0.06025911419102139,1.0,,,2017.0,2020.0,Terminator,4.0,0.5
1183,Nohua Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0020181634712411706,0.0,2016.0,2016.0,Transient,1.0,1.0
1184,Non-Profit Organization Japan Clinical Cancer Research Organization,Japan,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
1185,North Carolina State University,United States,North America,Academic,2.0,2.0,0.06025911419102139,1.0,,,2018.0,2020.0,Terminator,3.0,0.6666666666666666
1186,Northshore University Health System,United States,North America,Academic,1.0,2.0,0.030129557095510694,2.0,0.0010090817356205853,0.0,2020.0,2020.0,Transient,1.0,1.0
1187,Northwest Biotherapeutics,United States,North America,Commercial,1.0,86.0,0.030129557095510694,86.0,0.0030272452068617556,0.0,2014.0,2014.0,Transient,1.0,1.0
1188,Northwestern University,United States,North America,Academic,4.0,0.0,0.12051822838204278,0.0,0.0010090817356205853,0.0,2020.0,2022.0,Terminator,3.0,1.3333333333333333
1189,Nouscom Ag,Switzerland,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2018.0,2023.0,Continuant,6.0,0.3333333333333333
1190,Novartis Ag,Switzerland,Europe,Commercial,33.0,138.0,0.9942753841518529,4.181818181818182,0.025227043390514632,0.019097126665239685,2014.0,2022.0,Terminator,9.0,3.6666666666666665
1191,Novartis Pharma Ag,Switzerland,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,2.0
1192,Novigenix Sa,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
