,Application Year,Lens ID,Applicant
2221,2016,052-304-651-370-988,Reichert Paul
2222,2016,052-304-651-370-988,Yang Xiaoyu
2223,2016,052-304-651-370-988,Scapin Giovanna
2224,2016,052-304-651-370-988,Kashi Ramesh
2225,2016,052-304-651-370-988,Prosise Winifred W
2226,2016,052-304-651-370-988,Merck Sharp & Dohme Corp.
2227,2017,194-778-036-144-034,Maine Medical Center Research Institute
2228,2021,068-751-768-962-931,Genor Biopharma Co. Ltd.
2229,2023,041-918-879-950-919,Shanghai Jiyu Pharmaceutical Tech Co. Ltd.
2230,2019,172-563-417-162-117,Genentech Inc.
2231,2020,170-690-938-899-025,Scripps Research Institute
2232,2020,170-690-938-899-025,Sirenas Llc
2233,2017,184-823-194-292-785,University Of Zurich
2234,2021,046-325-211-987-541,Fortunerock China Co. Ltd.
2235,2021,046-325-211-987-541,Beijing Bio Fortune Ltd.
2236,2021,046-325-211-987-541,Tianjin Sinobiotech Ltd.
2237,2020,158-245-891-204-475,Bristol Myers Squibb Co.
2238,2022,036-124-681-373-604,Seed Health Inc.
2239,2020,053-341-648-224-17X,Bristol Myers Squibb Co.
2240,2020,177-609-894-313-267,Bristol Myers Squibb Co.
2241,2021,147-211-769-510-087,Pumisi Biotechnology Zhuhai Co. Ltd.
2242,2022,067-162-727-019-902,Bristol Myers Squibb Co.
2243,2018,076-643-945-869-634,Cabrera Eric Escobar
2244,2018,076-643-945-869-634,Huang Shaopeng
2245,2018,076-643-945-869-634,Merck Sharp & Dohme Corp.
2246,2018,076-643-945-869-634,Desjardins Genevieve
2247,2018,076-643-945-869-634,Juan Veronica
2248,2018,076-643-945-869-634,Fayadat Dilman Laurence
2249,2018,076-643-945-869-634,Zymeworks Bc Inc.
2250,2018,076-643-945-869-634,Ying Hua
2251,2018,076-643-945-869-634,Khan Shireen
2252,2023,107-412-262-785-014,Sumitomo Pharma Co. Ltd.
2253,2019,125-203-198-545-842,Gritstone Oncology Inc.
2254,2022,123-995-687-685-315,Shenghe China Bio Pharmacy Co. Ltd.
2255,2017,004-520-174-253-142,Polaris Pharmaceuticals Inc.
2256,2011,027-360-322-616-246,Xiamen University
2257,2022,068-504-816-752-552,Shanghai Junshi Bioscience Co Ltd
2258,2022,068-504-816-752-552,Junmeng Biosciences Co. Ltd.
2259,2022,070-353-771-555-681,Bristol Myers Squibb Co.
2260,2015,057-204-715-655-194,Bristol Myers Squibb Co.
2261,2016,070-416-675-411-368,Memorial Sloan Kettering Cancer Center
2262,2022,128-080-696-793-576,Veru Inc.
2263,2020,007-183-835-736-147,North Carolina State University
2264,2017,061-814-383-621-74X,Beijing Virgilbio Tech Co. Ltd.
2265,2017,061-814-383-621-74X,Changsheng Jonathan Liu
2266,2019,171-500-284-941-082,Ose Immunotherapeutics
2267,2020,099-377-118-203-172,Bayer Ag
2268,2017,053-977-843-579-797,Shunho Cell Biology Tech (Tianjin) Co. Ltd.
2269,2022,110-880-735-394-407,Zhejiang Jiuzhou Pharm Co. Ltd.
2270,2021,186-628-182-324-363,Iovance Biotherapeutics Inc.
2271,2016,107-342-913-627-650,Oncosec Medical Inc.
2272,2020,008-727-796-839-336,Shanghai Hengrui Pharmaceutical Co. Ltd.
2273,2020,008-727-796-839-336,Jiangsu Hengrui Medicine Co. Ltd.
2274,2021,008-716-195-100-233,Shanghai Life Science & Tech Co. Ltd.
2275,2023,048-257-627-163-950,Chia Tai Tianqing Pharmaceutical Group Co. Ltd.
2276,2018,091-262-260-341-065,Toray Industries
2277,2018,091-262-260-341-065,Nat Cancer Ct
2278,2021,046-376-954-950-686,Shanghai Junshi Bioscience Co Ltd
2279,2017,003-084-418-086-914,University Of Paris Descartes
2280,2017,003-084-418-086-914,Université Sorbonne
2281,2017,003-084-418-086-914,Inserm
2282,2017,003-084-418-086-914,University Of Paris Diderot - Paris 7
2283,2017,003-084-418-086-914,Medimmune Llc
2284,2017,003-084-418-086-914,Pierre Et Marie Curie University (Paris 6)
2285,2017,174-606-963-912-763,Icellhealth Consulting Llc
2286,2018,161-380-203-890-951,Debiopharm International Sa
2287,2022,004-728-741-198-681,Stanford University
2288,2018,020-673-792-664-19X,Medicenna Therapeutics Inc.
2289,2022,010-792-958-684-107,Vycellix Inc.
2290,2022,010-792-958-684-107,Alici Evren
2291,2022,010-792-958-684-107,Susek Katharina
2292,2021,119-420-342-300-086,Guangdong Dongsunang Pharmaceutical Co. Ltd.
2293,2023,006-496-931-095-125,Aucentra Therapeutics Pty Ltd.
2294,2019,020-815-476-370-81X,Bristol Myers Squibb Co.
2295,2017,012-095-211-945-259,Ariad Pharma Inc.
2296,2020,122-568-962-577-026,"Kovarik, Joseph E."
2297,2019,040-263-908-317-821,Fusion Pharmaceuticals Inc.
2298,2014,129-693-350-023-361,Shanghai Henlius Biotech Inc.
2299,2015,080-560-539-480-448,Anhui Rubiox Vision Biotechnology Co. Ltd.
2300,2019,115-774-705-338-466,Emory University
2301,2020,095-564-616-983-958,Xibio Inc.
2302,2021,053-783-279-656-45X,Innovent Biologics (Suzhou) Co. Ltd.
2303,2021,178-629-543-358-513,Cureimmune Therapeutics Inc.
2304,2019,129-995-480-322-38X,Fudan University
2305,2017,143-182-859-770-338,University Of California
2306,2011,138-894-088-674-114,Chen James
2307,2011,138-894-088-674-114,Light Sciences Oncology Inc.
2308,2017,039-351-833-994-16X,Apceth Gmbh & Co Kg
2309,2019,025-209-271-861-107,University Of Nantong
2310,2018,053-113-056-935-272,Shanghai Novamab Biopharmaceuticals Co. Ltd.
2311,2020,174-287-772-880-855,"Research & Business Foundation, Sungkyunkwan University"
2312,2022,142-947-015-481-523,Bionsystems Inc.
2313,2016,102-550-763-144-745,Juchuan Biomedicine Co. Ltd.
2314,2014,142-659-072-649-488,Novartis Ag
2315,2017,153-284-915-818-018,Bristol Myers Squibb Co.
2316,2011,183-011-156-051-040,Humphrey Rachel Wallach
2317,2011,183-011-156-051-040,Bristol Myers Squibb Co.
2318,2016,031-297-303-946-923,Lyvgen Biopharma Holdings Ltd.
2319,2019,032-787-241-895-603,Tayu Huaxia Biotech Medical Group Co. Ltd.
2320,1998,149-425-547-703-365,Cinel Bruno
2321,1998,149-425-547-703-365,Andersen Raymond
2322,1998,149-425-547-703-365,Anderson Hilary J
2323,1998,149-425-547-703-365,University Of British Columbia
2324,1998,149-425-547-703-365,Roberge Michel
2325,2020,167-506-440-905-861,Genentech Inc.
2326,2020,167-506-440-905-861,Hoffmann La Roche
2327,2015,036-654-424-769-753,Mitro Nanjing Biotechnology Co. Ltd.
2328,2018,138-266-190-280-480,University Of Zurich
2329,2022,129-770-478-457-51X,Shanghai Junshi Bioscience Co Ltd
2330,2019,095-623-741-801-129,Genentech Inc.
2331,2022,100-431-313-372-092,Seneca Therapeutics Inc.
2332,2015,032-328-371-476-711,University Of Tokyo
2333,2015,032-328-371-476-711,Idac Theranostics Inc.
2334,2018,151-516-954-056-973,Merck Patent Gmbh
2335,2020,193-828-060-732-860,Axelia Oncology Pty Ltd
2336,2017,118-486-410-896-48X,Bps Bioscience Inc.
2337,2020,180-613-228-901-358,"Cancer Hospital, Chinese Academy Of Medical Sciences"
2338,2018,133-017-450-843-552,Dana-Farber Cancer Institute Inc.
2339,2019,171-069-279-131-872,Genentech Inc.
2340,2021,027-827-596-242-284,Msd International Business Gmbh
2341,2021,027-827-596-242-284,Seagen Inc.
2342,2019,131-746-447-424-899,Shanghai Hengrui Pharmaceutical Co. Ltd.
2343,2019,131-746-447-424-899,Suzhou Shengdiya Biological Medicine Co. Ltd.
2344,2019,131-746-447-424-899,Jiangsu Hengrui Medicine Co. Ltd.
2345,2018,097-960-116-142-535,Straximm Llp
2346,2020,029-739-504-913-734,Birdie Biopharmaceuticals Inc.
2347,2020,007-693-546-430-790,Lupin Ltd.
2348,2020,122-418-364-732-133,Suzhou Zejing Biopharmaceutical Co. Ltd.
2349,2017,017-657-629-861-080,Gu Yanhong
2350,2023,003-030-611-947-620,University Of Qingdao Science & Technology
2351,2022,051-196-527-300-411,Jiangsu Mengbi Biotechnology Co. Ltd.
2352,2022,174-786-657-099-71X,Jiangsu Mobili Biological Tech Co. Ltd.
2353,2022,069-532-015-832-864,Institut Gustave Roussy
2354,2022,069-532-015-832-864,Everimmune
2355,2023,134-133-236-665-120,University Of China Pharma
2356,2020,185-168-595-142-671,Suzhou Zejing Biopharmaceutical Co. Ltd.
2357,2021,017-981-957-534-438,"University Of Natural Sciences, Chonnam Industrial Foundation"
2358,2022,007-693-986-729-593,Suzhou Kerui Maide Biomedical Tech Co. Ltd.
2359,2017,113-180-074-947-546,Tianjin Yaochen Industrial Development Co. Ltd.
2360,2021,195-463-024-051-439,Worldwide Innovative Network
2361,2017,122-278-414-142-552,Universität Zürich Prorektorat Mnw
2362,2021,031-871-698-246-422,Deutsches Krebsforschungszentrum (German Cancer Research Center)
2363,2020,031-666-005-950-167,Hakarel Co. Ltd
2364,2020,040-544-156-425-213,Beijing Ruhui Biomedical Tech Co. Ltd.
2365,2022,103-226-401-572-20X,Bionsystems Inc.
2366,2021,057-640-505-998-886,Industrial Technology Research Institute
2367,2022,152-969-807-390-347,The First Hospital Of Jilin University
2368,2016,005-885-127-647-77X,University Of Pennsylvania
2369,2016,005-885-127-647-77X,Inovio Pharmaceuticals Inc.
2370,2016,119-655-340-614-168,Immutep Sas
2371,2018,037-061-589-789-042,Genentech Inc.
2372,2018,037-061-589-789-042,Amgen Inc.
2373,2021,111-605-986-223-311,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
2374,2021,111-605-986-223-311,Jiangsu Hengrui Medicine Co. Ltd.
2375,2019,055-151-024-442-49X,Novartis Ag
2376,2019,055-151-024-442-49X,Palobiofarma Sl
2377,2018,196-124-667-020-601,Shanghai Cell Therapy Research Institute
2378,2018,196-124-667-020-601,Shanghai Cell Therapy Group Co. Ltd.
2379,2019,185-301-398-324-281,Shanghai Junshi Bioscience Co Ltd
2380,2022,166-667-274-298-349,University Of Australia
2381,2018,118-720-464-559-537,Nanjing Drum Tower Hospital
2382,2021,185-116-342-555-078,Suzhou Shengdiya Biological Medicine Co. Ltd.
2383,2021,122-654-381-902-960,Genor Biopharma Co. Ltd.
2384,2016,095-619-132-437-702,Wuxi Biologics (Cayman) Inc.
2385,2016,095-619-132-437-702,Open Monoclonal Tech Inc.
2386,2022,035-133-635-660-512,Celldex Therapeutics Inc.
2387,2022,035-133-635-660-512,Biosion Inc.
2388,2023,173-203-162-080-917,Immunitybio Inc.
2389,2022,135-048-052-885-401,Aveo Pharmaceuticals Inc.
2390,2022,135-048-052-885-401,Medimmune Ltd.
2391,2021,179-175-797-442-013,"University Of Natural Sciences, Chonnam Industrial Foundation"
2392,2021,179-175-797-442-013,Chonnam National University Hospital
2393,2022,155-721-550-408-678,Synthorx Inc.
2394,2020,134-672-679-199-918,Bristol Myers Squibb Co.
2395,2020,189-820-782-795-934,Idera Pharmaceuticals Inc.
2396,2022,011-478-763-608-463,Novartis Ag
2397,2022,011-478-763-608-463,Advanced Accelerator Applications Sa
2398,2020,077-575-510-805-652,Genentech Inc.
2399,2020,077-575-510-805-652,Hoffmann La Roche
2400,2018,044-082-629-700-361,Sony Corp.
2401,2021,095-496-779-016-274,Sunshine Guojian Pharmaceutical Shanghai Co. Ltd.
2402,2022,195-081-020-285-509,Wuhan Baiyingnuo Biotechnology Co. Ltd.
2403,2021,078-320-159-757-500,University Of Soochow
2404,2018,166-161-174-843-84X,Exelixis Inc.
2405,2021,156-479-761-676-617,H. Lee Moffitt Cancer Center And Research Institute Inc.
2406,2021,113-027-738-676-566,Ningbo Yuchang Biotechnology Co. Ltd.
2407,2021,113-027-738-676-566,University Of Zhejiang Science & Technology
2408,2021,037-809-113-793-334,Genemedicine Co. Ltd.
2409,2021,151-531-285-819-237,Innovent Biologics (Suzhou) Co. Ltd.
2410,2016,028-633-253-529-321,Pharmacyclics Llc
2411,2016,028-633-253-529-321,Stanford University
2412,2022,076-725-400-694-861,Kyungpook National University Industry-Academic Cooperation Foundation
2413,2023,074-195-043-941-343,Inexoplat Inc.
2414,2017,128-285-169-608-77X,Aerase Inc.
2415,2022,069-815-772-294-389,Vaknin Ilan
2416,2022,069-815-772-294-389,Barbiro Inbal
2417,2022,069-815-772-294-389,White Mark
2418,2022,069-815-772-294-389,Wool Assaf
2419,2022,069-815-772-294-389,Levine Zurit
2420,2022,069-815-772-294-389,Compugen Ltd.
2421,2018,013-085-921-287-817,Wang Qiwei
2422,2018,013-085-921-287-817,Ding Liya
2423,2018,013-085-921-287-817,Dana-Farber Cancer Institute Inc.
2424,2018,013-085-921-287-817,Kim Hye Jung
2425,2018,013-085-921-287-817,Zhao Jean
2426,2021,000-811-845-680-378,Eutilex Co. Ltd.
2427,2023,074-535-317-069-301,Glycyx Mor Inc.
2428,2017,152-593-707-794-958,Beijing Virgilbio Tech Co. Ltd.
2429,2017,152-593-707-794-958,Changsheng Jonathan Liu
2430,2022,081-957-523-953-10X,Kyungpook National University Industry-Academic Cooperation Foundation
2431,2021,122-533-532-129-928,Shaw Gray D
2432,2021,117-591-533-434-97X,Immunesensor Therapeutics Inc.
2433,2021,117-591-533-434-97X,University Of Texas
2434,2016,183-680-233-194-781,Bristol Myers Squibb Co.
2435,2022,005-302-986-907-253,Amgen Inc.
2436,2018,075-278-394-872-060,Shengwu Beijing Bio Tech Co. Ltd.
2437,2018,051-604-656-068-049,Innovent Biologics (Suzhou) Co. Ltd.
2438,2018,126-436-791-903-923,Wuxi Biologics (Shanghai) Co. Ltd.
2439,2021,004-280-781-872-80X,Akeso Biopharma Inc.
2440,2017,018-444-839-163-667,Bionomics Ltd.
2441,2023,074-226-860-296-566,Innolake Biopharma Hangzhou Co. Ltd.
2442,2018,178-861-980-295-270,Beijing C&N International Science & Technology Co. Ltd.
2443,2018,178-861-980-295-270,Institute Of Military Medicine Academy Of Military Sciences Pla
2444,2022,060-877-294-754-227,Merck Sharp & Dohme Corp.
2445,2019,015-141-072-921-380,Beijing Dongfang Biotech Co. Ltd.
2446,2019,004-459-412-947-853,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
2447,2019,004-459-412-947-853,Jiangsu Hengrui Medicine Co. Ltd.
2448,2020,189-466-637-778-362,Sun Yat-Sen University
2449,2022,117-529-871-594-020,Guangzhou Yuheng Biotechnology Co. Ltd.
2450,2021,185-495-616-516-002,Shanghai Junshi Bioscience Co Ltd
2451,2019,133-854-887-592-555,Brigham & Women'S Hospital Inc.
2452,2021,090-441-149-304-853,A28 Therapeutics Inc.
2453,2019,116-912-157-961-490,Merck Sharp & Dohme Corp.
2454,2020,188-895-892-062-547,G Flas Life Sciences
2455,2017,017-258-803-224-207,Momotaro Gene Inc.
2456,2023,026-227-503-863-212,Korea Research Institute Of Chemical Technology
2457,2023,026-227-503-863-212,Kanaph Therapeutics Inc.
2458,2022,199-722-992-102-386,"Zhongshan Hospital, Fudan University"
2459,2022,197-104-598-740-098,Pumisi Biotechnology Zhuhai Co. Ltd.
2460,2019,027-580-742-919-600,University Of Tokyo
2461,2021,093-348-951-233-514,Shenzhen Yukang Medical Laboratory
2462,2019,141-005-896-690-871,Memorial Sloan Kettering Cancer Center
2463,2019,141-005-896-690-871,University Of Cornell
2464,2021,077-786-981-407-968,University Of Fuzhou
2465,2023,057-874-665-015-457,University Of Nantong
2466,2022,152-429-248-432-004,Icahn School Of Medicine At Mount Sinai
2467,2021,031-308-404-878-713,University Of Shenyang Pharmaceutical
2468,2020,153-633-603-320-918,Origimed Tech Shanghai Co. Ltd.
2469,2019,193-825-168-809-758,University Of Texas
2470,2021,000-372-964-947-264,Pan Yihui
2471,2021,000-372-964-947-264,Chen Wei
2472,2021,000-372-964-947-264,Luo Junhang
2473,2022,111-901-207-024-492,University Of Heze
2474,2022,111-901-207-024-492,Shaanxi Qinling Seven Medicine Cooperative Innovation Center Co. Ltd.
2475,2023,151-826-538-772-130,Tcr2 Therapeutics Inc.
2476,2020,006-974-526-704-488,Beijing Korean Mei Medicine Co. Ltd.
2477,2020,006-974-526-704-488,Heada Biopharmaceutical Suzhou Co. Ltd.
2478,2022,030-241-718-162-208,Spark Biopharma Inc.
2479,2023,001-888-125-799-591,Chia Tai Tianqing Pharmaceutical Group Co. Ltd.
2480,2023,001-888-125-799-591,Nanjing Shunxin Pharmaceuticals Co. Ltd. Of Chiatai Tianqing Pharmaceutical Group
2481,2015,192-553-526-820-365,Celgene Corp.
2482,2019,149-049-810-535-631,Tayu Huaxia Biotech Medical Group Co. Ltd.
2483,2018,085-153-462-424-221,Stcube & Co. Inc.
2484,2021,158-441-828-723-465,Shanghai Junshi Bioscience Co Ltd
2485,2021,158-441-828-723-465,Suzhou Junmeng Biosciences Co. Ltd.
2486,2021,138-459-221-187-328,"University Of Natural Sciences, Chonnam Industrial Foundation"
2487,2022,152-500-359-695-930,First Affiliated Hospital Of Chongqing Medical University
2488,2019,045-300-410-685-426,Bristol Myers Squibb Co.
2489,2020,032-126-160-960-305,Genexine Inc.
2490,2021,072-651-673-397-024,Jiangsu Zherei Medicine Co. Ltd.
2491,2020,143-883-474-678-583,Zhu Jian
2492,2018,033-072-875-676-610,Fuzhou Maixin Biotechnology Development Co. Ltd.
2493,2018,027-101-898-553-157,Turnstone Lp
2494,2017,007-291-909-859-560,Imclone Llc
2495,2017,007-291-909-859-560,Merck Sharp & Dohme Corp.
2496,2022,111-807-084-401-399,Shandong Xinchuang Biotechnology Co. Ltd.
2497,2018,130-817-408-574-244,Regeneron Pharmaceuticals Inc.
2498,2017,125-006-664-843-810,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
2499,2017,125-006-664-843-810,Jiangsu Hengrui Medicine Co. Ltd.
2500,2023,198-286-211-768-894,Wellmarker Bio Co. Ltd.
2501,2023,005-467-427-767-19X,University Of Wuhan Science & Technology
2502,2020,062-948-057-838-492,Adeveita Life Science Ltd. Responsibility Company
2503,2020,038-446-987-985-915,Xbrane Biopharma Ab
2504,2019,131-327-915-180-199,University Of California
2505,2021,139-055-499-672-059,Ono Pharmaceutical Co.
2506,2021,139-055-499-672-059,Gilead Sciences Inc.
2507,2023,036-098-833-280-997,Fusion Pharmaceuticals Inc.
2508,2022,170-648-062-025-841,University Of California
2509,2023,058-226-657-490-910,Shanghai Jiaotong University School Of Medicine
2510,2022,009-645-978-973-955,Cbio As
2511,2021,091-911-163-585-612,Hutchison Medipharma Ltd.
2512,2021,091-911-163-585-612,Genor Biopharma Co. Ltd.
2513,2023,111-836-742-107-013,Akeso Pharmaceuticals Inc.
2514,2023,111-836-742-107-013,Shenzhen Chipscreen Biosciences Co. Ltd.
2515,2020,052-084-539-066-124,Lunan Pharmaceutical Group Corp.
2516,2018,040-710-781-165-139,New York University
2517,2023,005-782-909-083-276,"Beyond Air, Inc."
2518,2020,079-737-571-532-995,Samsung Life Public Welfare Foundation
2519,2020,113-470-850-529-191,Lunan Pharmaceutical Group Corp.
2520,2018,128-246-011-092-759,Glanville Jacob
2521,2018,128-246-011-092-759,Youssef Sawsan
2522,2018,128-246-011-092-759,Distributed Bio Inc.
2523,2022,114-377-660-695-770,Nanjing Hyosky Zhongke Tech Development Co. Ltd.
2524,2021,035-444-121-794-247,Sinocelltech Ltd.
2525,2019,129-082-474-996-146,Iovance Biotherapeutics Inc.
2526,2020,098-314-138-200-206,Chugai Pharmaceutical Co. Ltd.
2527,2021,149-974-287-182-20X,Genexine Inc.
2528,2020,081-569-879-555-001,Cedars-Sinai Medical Center
2529,2020,003-427-106-587-930,"Changchun Institute Of Applied Chemistry, Chinese Academy Of Sciences"
2530,2023,090-872-577-019-957,The Third Xiangya Hospital Of Central South University
2531,2019,123-105-040-541-647,Iovance Biotherapeutics Inc.
2532,2023,093-912-988-802-869,Futuregen Biopharmaceutical Beijing Co. Ltd.
2533,2019,026-303-930-609-536,Johns Hopkins University
2534,2017,179-739-270-958-073,Oncosec Medical Inc.
2535,2017,179-739-270-958-073,University Of California
2536,2022,183-564-416-889-297,Guangzhou Gloria Biosciences Co. Ltd.
2537,2017,117-242-395-015-578,Akeso Pharmaceuticals Inc.
2538,2020,166-458-668-434-429,Bristol Myers Squibb Co.
2539,2014,087-038-275-455-101,Johns Hopkins University
2540,2014,139-017-015-369-399,Genentech Inc.
2541,2018,116-296-061-188-943,Sichuan Baili Pharmaceutical Co. Ltd.
2542,2018,116-296-061-188-943,Systimmune Inc.
2543,2016,127-810-706-439-980,Genscript Nanjing Co. Ltd.
2544,2018,112-105-807-767-563,Innovent Biologics (Suzhou) Co. Ltd.
2545,2022,137-777-371-711-276,Medimmune Llc
2546,2022,135-652-056-211-405,Seagen Inc.
2547,2017,129-895-893-901-699,Xia Jianchuan
2548,2017,030-483-474-983-617,Deutsches Krebsforschungszentrum (German Cancer Research Center)
2549,2020,187-427-976-534-640,University Of Texas
2550,2018,199-953-268-935-510,Celgene Corp.
2551,2019,105-332-117-984-321,Zhang Zuoguang
2552,2016,078-081-346-656-38X,Syz Cell Therapy Co.
2553,2020,092-548-899-127-174,Bristol Myers Squibb Co.
2554,2020,137-966-754-881-566,Inserm
2555,2020,137-966-754-881-566,Baylor Research Institute
2556,2020,137-966-754-881-566,University Of Paris Val De Marne
2557,2020,137-966-754-881-566,Mabquest
2558,2020,137-966-754-881-566,Assistance Publique-Hôpitaux De Paris (Aphp)
2559,2017,092-432-897-511-805,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
2560,2017,092-432-897-511-805,Shanghai Hengrui Pharmaceutical Co. Ltd.
2561,2017,092-432-897-511-805,Jiangsu Hengrui Medicine Co. Ltd.
2562,2023,104-863-683-197-281,University Of Dalian Technology
2563,2022,170-177-949-266-218,Chugai Pharmaceutical Co. Ltd.
2564,2021,001-335-069-809-627,University Of China Pharma
2565,2018,073-335-750-963-141,Suzhou Shengdiya Biological Medicine Co. Ltd.
2566,2018,073-335-750-963-141,Jiangsu Hengrui Medicine Co. Ltd.
2567,2017,139-962-348-954-015,Eli Lilly And Company
2568,2017,139-962-348-954-015,Merck Sharp & Dohme Corp.
2569,2018,024-808-684-359-228,University Of Shanghai Technology
2570,2022,138-156-308-116-559,"Zhongshan Hospital, Fudan University"
2571,2018,028-767-033-475-863,Lunan Pharmaceutical Group Corp.
2572,2022,194-964-027-744-301,University Of Nanjing Technology
2573,2022,181-353-343-966-200,"Zhongshan Hospital, Fudan University"
2574,2019,158-345-812-821-861,Medimmune Llc
2575,2019,101-093-555-537-432,Liang Yalong
2576,2022,189-175-602-642-211,University Of Zhejiang
2577,2016,180-228-733-481-277,University Of Guangxi Medical
2578,2022,015-416-900-893-507,Zhejiang Teruisi Pharmaceutical Inc.
2579,2019,043-869-032-041-693,Suzhou Shengdiya Biological Medicine Co. Ltd.
2580,2019,043-869-032-041-693,Jiangsu Hengrui Medicine Co. Ltd.
2581,2022,013-066-443-321-748,Li Taisheng
2582,2021,172-268-435-244-480,Shanghai Junshi Bioscience Co Ltd
2583,2014,096-813-071-888-096,Vaccinex Inc.
2584,2016,060-353-335-738-542,University Of Guangxi Medical
2585,2021,198-612-360-823-915,Taizhou Baiying Biological Technology Co. Ltd.
2586,2020,048-000-637-515-397,Takeda Pharmaceuticals Co.
2587,2018,075-738-456-376-009,Nanjing Angkeli Medicine Tech Innovation Research Institute Co. Ltd.
2588,2020,018-504-013-447-059,Sun Rest On Rest Commemorative Hospital For Middle Mountain University
2589,2020,101-648-669-684-859,Seagen Inc.
2590,2018,195-826-286-993-741,Mitchell Woods Pharmaceuticals Inc.
2591,2021,194-462-485-651-006,Akeso Biopharma Inc.
2592,2022,035-311-411-765-816,Uif University Industry Foundation Yonsei University
2593,2022,074-105-502-324-909,University Of Iowa Research Foundation
2594,2022,013-899-957-487-792,Guangdong Fapon Pharmaceutical Co. Ltd.
2595,2018,123-772-432-224-770,Mateon Therapeutics Inc.
2596,2017,178-917-738-972-464,Wuxi Biologics (Shanghai) Co. Ltd.
2597,2022,193-353-129-396-759,Guangdong Fapon Pharmaceutical Co. Ltd.
2598,2022,173-843-645-470-384,Guangzhou X Cell Therapy Biomedical Technology Co. Ltd.
2599,2013,017-428-701-503-861,Emory University
2600,2013,017-428-701-503-861,Dana-Farber Cancer Institute Inc.
2601,2013,192-340-714-762-60X,Bristol Myers Squibb Co.
2602,2021,033-975-765-096-786,Imclone Llc
2603,2021,033-975-765-096-786,Merck Sharp & Dohme Corp.
2604,2016,178-933-317-586-274,Rigel Pharmaceuticals Inc.
2605,2022,028-605-534-841-532,Shanghai Institute Of Immunology
2606,2020,177-122-030-325-055,Akeso Pharmaceuticals Inc.
2607,2016,009-749-852-113-921,Amgen Research Munich Gmbh
2608,2023,082-083-852-183-371,Incyte Corp.
2609,2020,140-065-943-972-125,University Of Science Tokyo
2610,2020,183-684-472-454-753,Bristol Myers Squibb Co.
2611,2021,061-541-689-573-401,Duke University
2612,2016,171-482-926-773-10X,University Of Guangxi Medical
2613,2018,026-145-712-972-563,Agonox Inc.
2614,2019,082-839-630-715-480,Iomx Therapeutics Ag
2615,2020,154-598-313-803-052,Persephone Biosciences Inc.
2616,2017,147-600-187-424-532,University Of Basel
2617,2017,147-600-187-424-532,University Of Zurich
2618,2021,168-341-701-689-786,Columbia University
2619,2023,089-594-093-368-613,Fusion Pharmaceuticals Inc.
2620,2015,083-959-727-985-754,Novartis Ag
2621,2015,083-959-727-985-754,Peters Malte
2622,2015,083-959-727-985-754,Lebwohl David
2623,2020,085-390-223-814-002,Celgene Corp.
2624,2022,005-754-620-462-621,West Virginia University Board Of Governors On Behalf Of West Virginia University
2625,2022,032-259-696-890-463,University Of Basel
2626,2022,032-259-696-890-463,University Of Zurich
2627,2022,167-830-882-218-81X,"Boostimmune, Inc."
2628,2022,167-830-882-218-81X,University Of Tokyo
2629,2018,105-556-884-797-298,Dana-Farber Cancer Institute Inc.
2630,2018,105-556-884-797-298,Giannakis Marios
2631,2018,105-556-884-797-298,Choueiri Toni K
2632,2018,105-556-884-797-298,Li Haoxin
2633,2012,060-354-716-552-148,Glaxosmithkline Llc
2634,2012,060-354-716-552-148,Legos Jeffrey J
2635,2012,060-354-716-552-148,Cornfeld Mark J
2636,2009,000-930-534-111-081,Medarex Inc.
2637,2017,160-145-431-173-915,Ibc Pharmaceuticals Inc.
2638,2022,157-093-798-665-334,Shanghai Sunway Biotech Co. Ltd.
2639,2018,003-023-660-885-838,Bristol Myers Squibb Co.
2640,2018,064-747-375-379-780,Haimen Shanzhun Biotechnology Co. Ltd.
2641,2018,064-747-375-379-780,Shanghai Prec Diagnostics Co. Ltd.
2642,2023,171-545-965-987-026,West China Hospital Sichuan University
2643,2022,190-409-909-377-138,H. Lee Moffitt Cancer Center And Research Institute Inc.
2644,2022,166-647-443-335-49X,Kaiku Health Oy
2645,2017,027-448-239-116-802,Isonmingxu Corporation
2646,2023,074-947-964-195-778,Aston Sci Inc.
2647,2020,149-308-773-470-325,Exicure Operating Company
2648,2013,085-747-061-833-241,University Of Zhengzhou
2649,2020,163-451-678-480-698,Shanghai Hengrui Pharmaceutical Co. Ltd.
2650,2020,163-451-678-480-698,Suzhou Shengdiya Biological Medicine Co. Ltd.
2651,2020,163-451-678-480-698,Jiangsu Hengrui Medicine Co. Ltd.
2652,2017,002-814-460-867-12X,Arbutus Biopharma Corp.
2653,2018,096-509-547-919-374,Shanghai Prec Diagnostics Co. Ltd.
2654,2018,096-509-547-919-374,Haimen Prec Diagnostics Co. Ltd.
2655,2017,005-273-605-154-594,Suzhou Suncadia Biopharmaceuticals Co. Ltd.
2656,2019,000-008-415-133-89X,Suzhou Shengdiya Biological Medicine Co. Ltd.
2657,2019,000-008-415-133-89X,Jiangsu Hengrui Medicine Co. Ltd.
2658,2021,021-110-045-215-347,Hutchison Medipharma Ltd.
